TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_INTERNATIONAL_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Upper 95% CI,COPD_number,diabetes_number,CKD_prevalence,CKD_Upper 95% CI,CKD_number,Urban_rural_code
284081.0,36179.0,36896.0,35589.0,34363.0,34061.0,38394.0,34718.0,21439.0,12442.0,227365.0,38708.0,1553.0,8150.0,157.0,8148.0,284081.0,-659.0,4743.0,1.5,23963.0,62181.0,64375.0,43910.0,32.0,22.6,45006.0,53795.0,51486.0,56104.0,141196.0,133101.0,8095.0,53795.0,82.7,284.4,240.5,99.6,87.2,7.0,110.6573385,55.56278212,4.169438305,215.1831502,134.9827781,476.7875332,87.0,287512.0,65218.0,22.7,217591.0,42.7,40.8,44.6,93017.0,32.9,31.5,34.2,71587.0,7.8,7.0,8.5,8.6,9.9,18791.0,25818.0,3.3,3.5,7194.0,3.0
8758.0,1177.0,1243.0,1004.0,955.0,1121.0,1202.0,1027.0,719.0,310.0,8464.0,135.0,31.0,28.0,1.0,99.0,8758.0,-20.0,90.0,-0.2,875.0,2480.0,1809.0,636.0,42.8,11.0,1038.0,56769.0,51081.0,62457.0,4089.0,3919.0,170.0,56769.0,113.1,230.9,214.6,77.3,72.9,8.3,5.750595403,1.932545013,0.205798404,3.87096998,3.72397112,12.65366187,0.0,8700.0,1996.0,22.9,6520.0,51.0,48.6,53.2,3322.0,38.7,36.9,40.6,2523.0,9.8,8.9,10.7,11.9,13.6,775.0,914.0,3.3,3.6,217.0,4.0
1952.0,269.0,260.0,145.0,218.0,185.0,274.0,336.0,176.0,89.0,1854.0,8.0,54.0,5.0,1.0,30.0,1952.0,15.0,2.0,0.0,135.0,415.0,516.0,245.0,31.7,18.7,198.0,68243.0,60694.0,75792.0,873.0,837.0,36.0,68243.0,104.6,237.6,217.1,87.0,79.6,10.5,1.173649512,0.582972515,0.100158273,0.901424461,1.507510423,2.319049254,0.0,1822.0,608.0,33.4,1461.0,48.6,45.9,51.1,710.0,36.9,35.0,39.0,539.0,8.9,8.0,10.0,7.6,9.0,111.0,178.0,3.3,3.6,48.0,4.0
180454.0,19474.0,20336.0,21530.0,21389.0,22063.0,24637.0,26324.0,15745.0,8956.0,159858.0,13771.0,301.0,2044.0,59.0,4421.0,180454.0,-2856.0,3338.0,0.1,15894.0,50266.0,34460.0,33388.0,37.5,24.9,30248.0,41926.0,39988.0,43864.0,82263.0,78000.0,4263.0,41926.0,95.2,263.4,231.6,100.1,89.4,10.5,94.1326037,66.75220729,5.595993426,97.53017113,124.0112115,280.0994566,156.0,187827.0,49628.0,26.4,144442.0,52.2,50.2,54.3,75463.0,37.4,36.0,38.8,54021.0,10.5,9.6,11.6,12.1,14.0,17475.0,21166.0,3.6,3.9,5256.0,4.0
11964.0,1486.0,1569.0,1242.0,1251.0,1260.0,1725.0,1699.0,1024.0,708.0,11710.0,103.0,18.0,42.0,2.0,89.0,11964.0,-72.0,95.0,0.2,645.0,3627.0,2650.0,1412.0,43.5,16.9,1019.0,64190.0,58883.0,69497.0,6407.0,6234.0,173.0,64190.0,106.9,218.2,193.1,84.8,77.9,6.9,7.285726099,3.23346741,0.447302643,4.844515065,8.191703486,15.49259239,0.0,12140.0,3281.0,27.0,9149.0,42.4,40.0,44.6,3877.0,35.0,33.1,36.7,3202.0,8.0,7.2,8.9,7.5,8.7,685.0,1022.0,3.1,3.4,287.0,6.0
826.0,89.0,108.0,67.0,84.0,72.0,117.0,152.0,85.0,52.0,769.0,7.0,14.0,5.0,0.0,31.0,826.0,6.0,89.0,0.0,30.0,229.0,165.0,148.0,40.0,25.9,150.0,38782.0,34598.0,42966.0,369.0,352.0,17.0,38782.0,70.2,247.1,236.2,91.5,88.0,9.8,0.391887452,0.304023797,0.04354305,0.267478737,0.456424473,0.895742748,0.0,747.0,281.0,37.6,651.0,41.9,39.4,44.4,273.0,31.5,29.7,33.4,205.0,9.1,8.1,10.1,7.9,9.3,52.0,80.0,3.6,3.9,23.0,4.0
19102.0,2114.0,2266.0,2440.0,2421.0,2298.0,2625.0,2570.0,1455.0,913.0,18188.0,542.0,69.0,95.0,7.0,201.0,19102.0,114.0,1514.0,0.0,1434.0,6388.0,3732.0,2028.0,47.0,14.9,2167.0,52332.0,47744.0,56920.0,9323.0,8979.0,344.0,52332.0,93.9,230.8,212.0,80.3,74.4,6.5,9.856606172,2.412056825,0.376794676,7.510202965,9.485520507,24.85132156,4.0,19229.0,4691.0,24.4,15089.0,46.3,44.0,48.6,6984.0,34.7,32.9,36.4,5236.0,8.6,7.7,9.5,10.4,12.1,1575.0,1963.0,3.2,3.5,486.0,6.0
678701.0,78747.0,85588.0,95507.0,97313.0,81193.0,86148.0,80603.0,48038.0,25564.0,571760.0,23386.0,42255.0,19454.0,1017.0,20829.0,678701.0,15.0,11913.0,1.2,51916.0,107599.0,146410.0,157155.0,23.2,33.9,109959.0,51372.0,49762.0,52982.0,329380.0,314530.0,14850.0,51372.0,108.4,244.8,213.8,91.1,82.1,7.7,331.0218352,172.3127361,13.27974094,317.094302,367.6220968,937.3553727,138.0,674855.0,140933.0,20.9,531331.0,37.5,36.1,39.0,199236.0,27.3,26.3,28.3,145053.0,6.2,5.7,6.7,6.0,6.8,31913.0,60774.0,3.2,3.4,16872.0,3.0
580233.0,61097.0,66378.0,74304.0,86547.0,74852.0,81341.0,73792.0,40954.0,20968.0,532081.0,8173.0,6944.0,17749.0,678.0,14608.0,580233.0,4416.0,8757.0,0.8,22840.0,84351.0,121561.0,180236.0,20.6,44.1,39799.0,85550.0,82944.0,88156.0,334242.0,324124.0,10118.0,85550.0,118.9,285.7,262.5,95.4,88.9,7.8,294.9268123,228.9121062,9.066834645,254.9919901,277.4043903,742.56357,94.0,564029.0,124374.0,22.1,465718.0,29.9,28.2,31.7,139023.0,22.3,21.2,23.5,103855.0,5.1,4.6,5.7,5.1,6.0,23563.0,33878.0,2.5,2.7,11726.0,2.0
40571.0,5585.0,5999.0,5666.0,5255.0,4756.0,4875.0,4257.0,2782.0,1396.0,26715.0,12422.0,190.0,664.0,25.0,555.0,40571.0,133.0,1554.0,0.1,4705.0,8886.0,7942.0,4257.0,34.5,16.5,7636.0,45680.0,41914.0,49446.0,19337.0,18561.0,776.0,45680.0,77.9,228.7,202.9,79.1,71.9,7.0,18.57025802,12.83141193,0.559228954,19.1989085,13.15537905,49.32013698,20.0,40531.0,8091.0,20.0,30551.0,48.8,47.2,50.4,14902.0,36.8,35.5,38.0,11243.0,8.0,7.4,8.7,9.4,10.5,2860.0,4348.0,3.6,3.8,1092.0,5.0
